"1a. Share/Unit acquired (On or before/ after 31st Jan 2018)","2. ISIN Code","3. Name of the Share/Unit","4. No. of Shares/Units","5. Sale-price per Share/Unit","6. Full Value of Consideration If shares/units are acquired on or before 31st January, 2018 (Total Sale Value) (4*5) or  If  shares/units are acquired after 31st January, 2018 - Please enter Full Value of Consideration","7. Cost of acquisition without indexation (higher of 8 or 9 )","8. Cost of acquisition","9. If the long term capital asset was acquired before 01.02.2018, Lower of 6 & 11","10. Fair Market Value per share/unit as on 31st January,2018","11. Total Fair Market Value as on 31st January, 2018 of capital asset as per section 55(2)(ac)- (4*10)","12. Expenditure wholly and exclusively in connection with transfer","13. Total deductions (7+12)","14. Balance (6 − 13) -Item 4 (a) of LTCG Schedule of ITR3"
"After 31st January, 2018","","NTPCGREEN","110","95.3","10483.02","16058.9","16058.9","0","0","0","0","16058.9","-5575.88"
"After 31st January, 2018","","JNKINDIA","30","226.15","6784.5","20155.2","20155.2","0","0","0","0","20155.2","-13370.7"
"After 31st January, 2018","","GANECOS","4","1105.4","4421.6","8350.05","8350.05","0","0","0","0","8350.05","-3928.45"
"After 31st January, 2018","","SUZLON","31","41.89","1298.59","2128.27","2128.27","0","0","0","0","2128.27","-829.68"
"After 31st January, 2018","","VALIANTORG","20","497.27","9945.35","9074.3","9074.3","0","0","0","0","9074.3","871.05"
"After 31st January, 2018","","BSOFT","41","363.95","14921.95","30683.9","30683.9","0","0","0","0","30683.9","-15761.95"
"After 31st January, 2018","","KPIL","7","1109.57","7767.0","8852.15","8852.15","0","0","0","0","8852.15","-1085.15"
"After 31st January, 2018","","VAIBHAVGBL","27","190.2","5135.4","10894.05","10894.05","0","0","0","0","10894.05","-5758.65"
"After 31st January, 2018","","ITC","50","293.6","14680.0","21231.13","21231.13","0","0","0","0","21231.13","-6551.13"
"After 31st January, 2018","","RECLTD","20","324.05","6481.0","11273.35","11273.35","0","0","0","0","11273.35","-4792.35"
"After 31st January, 2018","","AVG","14","153.26","2145.64","7321.5","7321.5","0","0","0","0","7321.5","-5175.86"
"After 31st January, 2018","","FIEMIND","2","1953.5","3907.0","3181.15","3181.15","0","0","0","0","3181.15","725.85"
"After 31st January, 2018","","GENUSPOWER","31","268.75","8331.2","12501.4","12501.4","0","0","0","0","12501.4","-4170.2"
"After 31st January, 2018","","DBREALTY","50","237.0","11850.0","11735.0","11735.0","0","0","0","0","11735.0","115.0"
"After 31st January, 2018","","NATCOPHARM","12","968.68","11624.2","17831.95","17831.95","0","0","0","0","17831.95","-6207.75"
"After 31st January, 2018","","PATELENG","101","24.12","2436.12","5805.2","5805.2","0","0","0","0","5805.2","-3369.08"
"After 31st January, 2018","","ITCHL","5","146.2","731.0","3316.37","3316.37","0","0","0","0","3316.37","-2585.37"
"After 31st January, 2018","","VBL","30","394.35","11830.5","18148.5","18148.5","0","0","0","0","18148.5","-6318.0"
"After 31st January, 2018","","IREDA","50","117.1","5855.0","12850.0","12850.0","0","0","0","0","12850.0","-6995.0"
"After 31st January, 2018","","PRAJIND","5","323.33","1616.65","3877.9","3877.9","0","0","0","0","3877.9","-2261.25"
"After 31st January, 2018","INE427F01016","CHALET HOTELS LIMITED","1","888.0","888.0","268.74","268.74","0","0","0","0","268.74","619.26"
"After 31st January, 2018","INE427F01016","CHALET HOTELS LIMITED","1","888.0","888.0","258.75","258.75","0","0","0","0","258.75","629.25"
"After 31st January, 2018","INE427F01016","CHALET HOTELS LIMITED","1","888.0","888.0","333.45","333.45","0","0","0","0","333.45","554.55"
"After 31st January, 2018","INE427F01016","CHALET HOTELS LIMITED","1","755.06","755.06","351.75","351.75","0","0","0","0","351.75","403.31"
"After 31st January, 2018","INE427F01016","CHALET HOTELS LIMITED","2","755.06","1510.12","663.0","663.0","0","0","0","0","663.0","847.12"
"After 31st January, 2018","INE263A01024","BHARAT ELECTRONICS LTD","4","402.3","1609.2","380.2","380.2","0","0","0","0","380.2","1229.0"
"After 31st January, 2018","INE263A01024","BHARAT ELECTRONICS LTD","2","402.3","804.6","193.9","193.9","0","0","0","0","193.9","610.7"
"After 31st January, 2018","INE263A01024","BHARAT ELECTRONICS LTD","2","402.3","804.6","185.1","185.1","0","0","0","0","185.1","619.5"
"After 31st January, 2018","INE427F01016","CHALET HOTELS LIMITED","1","755.06","755.06","415.55","415.55","0","0","0","0","415.55","339.51"
"After 31st January, 2018","INE263A01024","BHARAT ELECTRONICS LTD","1","402.3","402.3","126.45","126.45","0","0","0","0","126.45","275.85"
